Frame_1,Time_1,Box Detected_1,Box Detected_2,Box Detected_3,Box Detected_4,Box Estimated_1,Box Estimated_2,Box Estimated_3,Box Estimated_4,Distance Lidar_1,Distance Estimated_1,State Predict_1,State Predict_2,State Predict_3,State Predict_4,State Predict_5,State Predict_6,StateCov Predict_1,StateCov Predict_2,StateCov Predict_3,StateCov Predict_4,StateCov Predict_5,StateCov Predict_6,StateCov Predict_7,StateCov Predict_8,StateCov Predict_9,StateCov Predict_10,StateCov Predict_11,StateCov Predict_12,StateCov Predict_13,StateCov Predict_14,StateCov Predict_15,StateCov Predict_16,StateCov Predict_17,StateCov Predict_18,StateCov Predict_19,StateCov Predict_20,StateCov Predict_21,StateCov Predict_22,StateCov Predict_23,StateCov Predict_24,StateCov Predict_25,StateCov Predict_26,StateCov Predict_27,StateCov Predict_28,StateCov Predict_29,StateCov Predict_30,StateCov Predict_31,StateCov Predict_32,StateCov Predict_33,StateCov Predict_34,StateCov Predict_35,StateCov Predict_36,Measure Cov_1,Measure Cov_2,Measure Cov_3,Measure Cov_4,Measure Cov_5,Measure Cov_6,Measure Cov_7,Measure Cov_8,Measure Cov_9,State Correct_1,State Correct_2,State Correct_3,State Correct_4,State Correct_5,State Correct_6,StateCov Correct_1,StateCov Correct_2,StateCov Correct_3,StateCov Correct_4,StateCov Correct_5,StateCov Correct_6,StateCov Correct_7,StateCov Correct_8,StateCov Correct_9,StateCov Correct_10,StateCov Correct_11,StateCov Correct_12,StateCov Correct_13,StateCov Correct_14,StateCov Correct_15,StateCov Correct_16,StateCov Correct_17,StateCov Correct_18,StateCov Correct_19,StateCov Correct_20,StateCov Correct_21,StateCov Correct_22,StateCov Correct_23,StateCov Correct_24,StateCov Correct_25,StateCov Correct_26,StateCov Correct_27,StateCov Correct_28,StateCov Correct_29,StateCov Correct_30,StateCov Correct_31,StateCov Correct_32,StateCov Correct_33,StateCov Correct_34,StateCov Correct_35,StateCov Correct_36,Kalman Gain_1,Kalman Gain_2,Kalman Gain_3,Kalman Gain_4,Kalman Gain_5,Kalman Gain_6,Kalman Gain_7,Kalman Gain_8,Kalman Gain_9,Kalman Gain_10,Kalman Gain_11,Kalman Gain_12,Kalman Gain_13,Kalman Gain_14,Kalman Gain_15,Kalman Gain_16,Kalman Gain_17,Kalman Gain_18
7,1.4212099999999999,271,252,317,291,271,252,316,290,79.66207604,72.2783,294.0,0.0,271.0,0.0,72.27825164794922,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,294.0,0.0,271.0,0.0,72.27825164794922,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,1.460222,271,252,317,291,271,252,316,290,79.66207604,72.2783,294.0,0.0,271.0,0.0,72.27825164794922,0.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,294.0,0.0,271.0,0.0,72.27825164794922,0.0,0.9966731071472168,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.9966731071472168,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.9966731071472168,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.9966777563095093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9966777563095093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9966777563095093,0.0
9,1.498046,271,252,316,290,270,252,315,290,79.63911016,74.0264,293.0032958984375,-0.004942392930388451,271.0,0.0,74.02635955810547,0.008668380789458752,302.4966735839844,1.5,0.0,0.0,0.0,0.0,1.5,3.0,0.0,0.0,0.0,0.0,0.0,0.0,302.4966735839844,1.5,0.0,0.0,0.0,0.0,1.5,3.0,0.0,0.0,0.0,0.0,0.0,0.0,302.4966735839844,1.5,0.0,0.0,0.0,0.0,1.5,3.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,293.0032958984375,-0.004942392930388451,271.0,0.0,74.02635955810547,0.008668380789458752,0.9967278838157654,0.004942579194903374,0.0,0.0,0.0,0.0,0.004942506551742554,2.992586374282837,0.0,0.0,0.0,0.0,0.0,0.0,0.9967278838157654,0.004942579194903374,0.0,0.0,0.0,0.0,0.004942506551742554,2.992586374282837,0.0,0.0,0.0,0.0,0.0,0.0,0.9967278838157654,0.004942579194903374,0.0,0.0,0.0,0.0,0.004942506551742554,2.992586374282837,0.9967049956321716,0.004942392930388451,0.0,0.0,0.0,0.0,0.0,0.0,0.9967049956321716,0.004942392930388451,0.0,0.0,0.0,0.0,0.0,0.0,0.9967049956321716,0.004942392930388451
10,1.535396,271,252,317,290,270,252,316,290,79.63911016,72.284,293.9967041015625,0.004901792388409376,271.0,0.0,72.28401184082031,-0.008597183972597122,303.99920654296875,2.9975290298461914,0.0,0.0,0.0,0.0,2.9975287914276123,4.492586135864258,0.0,0.0,0.0,0.0,0.0,0.0,303.99920654296875,2.9975290298461914,0.0,0.0,0.0,0.0,2.9975287914276123,4.492586135864258,0.0,0.0,0.0,0.0,0.0,0.0,303.99920654296875,2.9975290298461914,0.0,0.0,0.0,0.0,2.9975287914276123,4.492586135864258,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,293.9967041015625,0.004901792388409376,271.0,0.0,72.28401184082031,-0.008597183972597122,0.9967138767242432,0.00982812512665987,0.0,0.0,0.0,0.0,0.009827915579080582,4.4631266593933105,0.0,0.0,0.0,0.0,0.0,0.0,0.9967138767242432,0.00982812512665987,0.0,0.0,0.0,0.0,0.009827915579080582,4.4631266593933105,0.0,0.0,0.0,0.0,0.0,0.0,0.9967138767242432,0.00982812512665987,0.0,0.0,0.0,0.0,0.009827915579080582,4.4631266593933105,0.9967213273048401,0.009827989153563976,0.0,0.0,0.0,0.0,0.0,0.0,0.9967213273048401,0.009827989153563976,0.0,0.0,0.0,0.0,0.0,0.0,0.9967213273048401,0.009827989153563976
11,1.5728809999999998,271,252,317,291,270,252,317,290,79.68504192,72.2782,294.0,0.004878186620771885,271.0,0.0,72.27824401855469,-0.008555762469768524,305.4794921875,4.472954750061035,0.0,0.0,0.0,0.0,4.472954750061035,5.9631266593933105,0.0,0.0,0.0,0.0,0.0,0.0,305.4794921875,4.472954750061035,0.0,0.0,0.0,0.0,4.472954750061035,5.9631266593933105,0.0,0.0,0.0,0.0,0.0,0.0,305.4794921875,4.472954750061035,0.0,0.0,0.0,0.0,4.472954750061035,5.9631266593933105,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,294.0,0.004878186620771885,271.0,0.0,72.27824401855469,-0.008555762469768524,0.9967421293258667,0.014594770036637783,0.0,0.0,0.0,0.0,0.01459470298141241,5.89784574508667,0.0,0.0,0.0,0.0,0.0,0.0,0.9967421293258667,0.014594770036637783,0.0,0.0,0.0,0.0,0.01459470298141241,5.89784574508667,0.0,0.0,0.0,0.0,0.0,0.0,0.9967421293258667,0.014594770036637783,0.0,0.0,0.0,0.0,0.01459470298141241,5.89784574508667,0.9967371225357056,0.014594629406929016,0.0,0.0,0.0,0.0,0.0,0.0,0.9967371225357056,0.014594629406929016,0.0,0.0,0.0,0.0,0.0,0.0,0.9967371225357056,0.014594629406929016
12,1.6108119999999997,271,252,316,291,270,252,315,290,79.68504192,74.0264,293.0032653808594,-0.014416554011404514,271.0,0.0,74.02641296386719,0.025284891948103905,306.92376708984375,5.912440299987793,0.0,0.0,0.0,0.0,5.912440299987793,7.39784574508667,0.0,0.0,0.0,0.0,0.0,0.0,306.92376708984375,5.912440299987793,0.0,0.0,0.0,0.0,5.912440299987793,7.39784574508667,0.0,0.0,0.0,0.0,0.0,0.0,306.92376708984375,5.912440299987793,0.0,0.0,0.0,0.0,5.912440299987793,7.39784574508667,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,293.0032653808594,-0.014416554011404514,271.0,0.0,74.02641296386719,0.025284891948103905,0.9967530369758606,0.019201267510652542,0.0,0.0,0.0,0.0,0.019200999289751053,7.284320831298828,0.0,0.0,0.0,0.0,0.0,0.0,0.9967530369758606,0.019201267510652542,0.0,0.0,0.0,0.0,0.019200999289751053,7.284320831298828,0.0,0.0,0.0,0.0,0.0,0.0,0.9967530369758606,0.019201267510652542,0.0,0.0,0.0,0.0,0.019200999289751053,7.284320831298828,0.9967524409294128,0.019200986251235008,0.0,0.0,0.0,0.0,0.0,0.0,0.9967524409294128,0.019200986251235008,0.0,0.0,0.0,0.0,0.0,0.0,0.9967524409294128,0.019200986251235008
13,1.6486549999999998,272,252,317,291,271,252,316,290,79.65551436000001,74.0322,293.9967346191406,0.009458032436668873,271.0,0.0,74.03219604492188,0.024823008105158806,308.3194885253906,7.303522109985352,0.0,0.0,0.0,0.0,7.303521633148193,8.784320831298828,0.0,0.0,0.0,0.0,0.0,0.0,308.3194885253906,7.303522109985352,0.0,0.0,0.0,0.0,7.303521633148193,8.784320831298828,0.0,0.0,0.0,0.0,0.0,0.0,308.3194885253906,7.303522109985352,0.0,0.0,0.0,0.0,7.303521633148193,8.784320831298828,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,293.9967346191406,0.009458032436668873,271.0,0.0,74.03219604492188,0.024823008105158806,0.9967649579048157,0.023612121120095253,0.0,0.0,0.0,0.0,0.023611528798937798,8.611873626708984,0.0,0.0,0.0,0.0,0.0,0.0,0.9967649579048157,0.023612121120095253,0.0,0.0,0.0,0.0,0.023611528798937798,8.611873626708984,0.0,0.0,0.0,0.0,0.0,0.0,0.9967649579048157,0.023612121120095253,0.0,0.0,0.0,0.0,0.023611528798937798,8.611873626708984,0.9967671036720276,0.023611579090356827,0.0,0.0,0.0,0.0,0.0,0.0,0.9967671036720276,0.023611579090356827,0.0,0.0,0.0,0.0,0.0,0.0,0.9967671036720276,0.023611579090356827
14,1.6865989999999997,272,252,317,290,271,252,316,290,79.65551436000001,74.0322,294.0000305175781,0.009285824373364449,271.0,0.0,74.03221893310547,0.024131206795573235,309.6558532714844,8.635485649108887,0.0,0.0,0.0,0.0,8.63548469543457,10.111873626708984,0.0,0.0,0.0,0.0,0.0,0.0,309.6558532714844,8.635485649108887,0.0,0.0,0.0,0.0,8.63548469543457,10.111873626708984,0.0,0.0,0.0,0.0,0.0,0.0,309.6558532714844,8.635485649108887,0.0,0.0,0.0,0.0,8.63548469543457,10.111873626708984,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,294.0000305175781,0.009285824373364449,271.0,0.0,74.03221893310547,0.024131206795573235,0.9967848062515259,0.027798330411314964,0.0,0.0,0.0,0.0,0.027797698974609375,9.871828079223633,0.0,0.0,0.0,0.0,0.0,0.0,0.9967848062515259,0.027798330411314964,0.0,0.0,0.0,0.0,0.027797698974609375,9.871828079223633,0.0,0.0,0.0,0.0,0.0,0.0,0.9967848062515259,0.027798330411314964,0.0,0.0,0.0,0.0,0.027797698974609375,9.871828079223633,0.9967809915542603,0.02779759280383587,0.0,0.0,0.0,0.0,0.0,0.0,0.9967809915542603,0.02779759280383587,0.0,0.0,0.0,0.0,0.0,0.0,0.9967809915542603,0.02779759280383587
15,1.7249279999999998,272,252,317,290,271,252,316,290,79.65551436000001,74.0322,294.0000305175781,0.008990418165922165,271.0,0.0,74.03221130371094,0.023362666368484497,310.9241943359375,9.899626731872559,0.0,0.0,0.0,0.0,9.899625778198242,11.371828079223633,0.0,0.0,0.0,0.0,0.0,0.0,310.9241943359375,9.899626731872559,0.0,0.0,0.0,0.0,9.899625778198242,11.371828079223633,0.0,0.0,0.0,0.0,0.0,0.0,310.9241943359375,9.899626731872559,0.0,0.0,0.0,0.0,9.899625778198242,11.371828079223633,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,294.0000305175781,0.008990418165922165,271.0,0.0,74.03221130371094,0.023362666368484497,0.9967904686927795,0.03173878416419029,0.0,0.0,0.0,0.0,0.03173716366291046,11.05764102935791,0.0,0.0,0.0,0.0,0.0,0.0,0.9967904686927795,0.03173878416419029,0.0,0.0,0.0,0.0,0.03173716366291046,11.05764102935791,0.0,0.0,0.0,0.0,0.0,0.0,0.9967904686927795,0.03173878416419029,0.0,0.0,0.0,0.0,0.03173716366291046,11.05764102935791,0.9967941045761108,0.031737279146909714,0.0,0.0,0.0,0.0,0.0,0.0,0.9967941045761108,0.031737279146909714,0.0,0.0,0.0,0.0,0.0,0.0,0.9967941045761108,0.031737279146909714
16,1.7620689999999999,272,252,317,290,271,252,316,290,79.63582932000001,74.0322,294.0000305175781,0.008670498616993427,271.0,0.0,74.03221130371094,0.02253260463476181,312.117919921875,11.089380264282227,0.0,0.0,0.0,0.0,11.089378356933594,12.55764102935791,0.0,0.0,0.0,0.0,0.0,0.0,312.117919921875,11.089380264282227,0.0,0.0,0.0,0.0,11.089378356933594,12.55764102935791,0.0,0.0,0.0,0.0,0.0,0.0,312.117919921875,11.089380264282227,0.0,0.0,0.0,0.0,11.089378356933594,12.55764102935791,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,294.0000305175781,0.008670498616993427,271.0,0.0,74.03221130371094,0.02253260463476181,0.9968036413192749,0.03541795536875725,0.0,0.0,0.0,0.0,0.0354158878326416,12.164899826049805,0.0,0.0,0.0,0.0,0.0,0.0,0.9968036413192749,0.03541795536875725,0.0,0.0,0.0,0.0,0.0354158878326416,12.164899826049805,0.0,0.0,0.0,0.0,0.0,0.0,0.9968036413192749,0.03541795536875725,0.0,0.0,0.0,0.0,0.0354158878326416,12.164899826049805,0.9968063235282898,0.03541598096489906,0.0,0.0,0.0,0.0,0.0,0.0,0.9968063235282898,0.03541598096489906,0.0,0.0,0.0,0.0,0.0,0.0,0.9968063235282898,0.03541598096489906
